
NO.2-1data[ 9 16 70], 總效率 = 6.91, 各角度效率 = [0.37, 0.62, 1.0, 1.0, 1.0, 1.0, 0.92, 1.0]
NO.2-2data[10 18 58], 總效率 = 5.04, 各角度效率 = [0.52, 0.77, 0.99, 0.57, 0.19, 1.0, 0.0, 1.0]
NO.2-3data[ 8 18 76], 總效率 = 4.88, 各角度效率 = [0.43, 0.94, 1.0, 0.43, 0.03, 0.84, 0.29, 0.92]
NO.2-4data[ 3 28 71], 總效率 = 1.05, 各角度效率 = [0.68, 0.37, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.2-5data[ 4  2 41], 總效率 = 0.22, 各角度效率 = [0.22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.2-6data[ 4 25 44], 總效率 = 0.69, 各角度效率 = [0.69, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.2-7data[ 1 27 83], 總效率 = 1.0, 各角度效率 = [0.55, 0.23, 0.22, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.2-8data[ 9 16 70], 總效率 = 6.91, 各角度效率 = [0.37, 0.62, 1.0, 1.0, 1.0, 1.0, 0.92, 1.0]
NO.2-9data[ 9 12 34], 總效率 = 1.69, 各角度效率 = [0.29, 0.25, 0.39, 0.59, 0.13, 0.04, 0.0, 0.0]
NO.2-10data[ 7 19 81], 總效率 = 2.85, 各角度效率 = [0.37, 0.58, 0.54, 0.2, 0.0, 0.98, 0.0, 0.18]
NO.2-11data[ 6  3 10], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.2-12data[ 6 26 70], 總效率 = 1.55, 各角度效率 = [0.49, 0.68, 0.29, 0.09, 0.0, 0.0, 0.0, 0.0]
NO.2-13data[ 9 25 87], 總效率 = 2.9400000000000004, 各角度效率 = [0.54, 0.55, 0.45, 0.11, 0.0, 0.84, 0.45, 0.0]
NO.2-14data[ 8 16 70], 總效率 = 5.55, 各角度效率 = [0.41, 0.66, 1.0, 1.0, 1.0, 0.55, 0.93, 0.0]
NO.2-15data[ 4 12 29], 總效率 = 0.0, 各角度效率 = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.2-16data[ 4  5 75], 總效率 = 3.17, 各角度效率 = [0.18, 0.1, 0.02, 0.0, 0.6, 0.68, 1.0, 0.59]
NO.2-17data[10 18 58], 總效率 = 5.04, 各角度效率 = [0.52, 0.77, 0.99, 0.57, 0.19, 1.0, 0.0, 1.0]
NO.2-18data[ 9 16 58], 總效率 = 5.04, 各角度效率 = [0.46, 0.68, 0.92, 0.75, 0.19, 1.0, 0.04, 1.0]
NO.2-19data[ 8  7 32], 總效率 = 1.2, 各角度效率 = [0.12, 0.05, 0.0, 0.03, 0.0, 0.0, 0.0, 1.0]
NO.2-20data[10  4 63], 總效率 = 0.77, 各角度效率 = [0.77, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.2-21data[ 3 18 58], 總效率 = 1.02, 各角度效率 = [0.96, 0.06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.2-22data[ 6 17 58], 總效率 = 1.75, 各角度效率 = [0.66, 0.82, 0.17, 0.1, 0.0, 0.0, 0.0, 0.0]
NO.2-23data[ 8 18 76], 總效率 = 4.88, 各角度效率 = [0.43, 0.94, 1.0, 0.43, 0.03, 0.84, 0.29, 0.92]
NO.2-24data[ 8 25 81], 總效率 = 4.04, 各角度效率 = [0.38, 0.46, 0.24, 0.0, 0.98, 0.07, 1.0, 0.91]
NO.2-25data[10 12 29], 總效率 = 2.4199999999999995, 各角度效率 = [0.23, 0.32, 0.4, 0.35, 1.0, 0.11, 0.01, 0.0]
NO.2-26data[ 8 12 76], 總效率 = 6.140000000000001, 各角度效率 = [0.28, 0.07, 0.89, 1.0, 1.0, 1.0, 1.0, 0.9]
NO.2-27data[ 6 21 82], 總效率 = 2.77, 各角度效率 = [0.3, 0.39, 0.48, 0.5, 1.0, 0.02, 0.08, 0.0]
NO.2-28data[ 4  4 48], 總效率 = 3.04, 各角度效率 = [0.06, 0.01, 0.0, 0.0, 0.37, 0.6, 1.0, 1.0]
NO.2-29data[ 8  8 83], 總效率 = 1.88, 各角度效率 = [0.6, 0.49, 0.31, 0.44, 0.03, 0.01, 0.0, 0.0]
NO.2-30data[ 6 13 48], 總效率 = 1.1300000000000001, 各角度效率 = [0.5, 0.43, 0.13, 0.07, 0.0, 0.0, 0.0, 0.0]
NO.2-31data[ 4  4 12], 總效率 = 0.76, 各角度效率 = [0.0, 0.03, 0.02, 0.02, 0.06, 0.19, 0.15, 0.29]
NO.2-32data[ 9 16 70], 總效率 = 6.91, 各角度效率 = [0.37, 0.62, 1.0, 1.0, 1.0, 1.0, 0.92, 1.0]
NO.2-33data[10 11 19], 總效率 = 1.02, 各角度效率 = [0.13, 0.19, 0.24, 0.0, 0.23, 0.14, 0.09, 0.0]
NO.2-34data[ 4  4 41], 總效率 = 2.92, 各角度效率 = [0.04, 0.0, 0.0, 0.0, 0.34, 0.54, 1.0, 1.0]
NO.2-35data[ 4 19 48], 總效率 = 0.65, 各角度效率 = [0.65, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.2-36data[ 8  7 48], 總效率 = 1.36, 各角度效率 = [0.22, 0.11, 0.01, 0.0, 0.0, 0.01, 0.01, 1.0]
NO.2-37data[ 6 18 56], 總效率 = 1.69, 各角度效率 = [0.67, 0.96, 0.05, 0.01, 0.0, 0.0, 0.0, 0.0]
NO.2-38data[ 4  5 75], 總效率 = 3.17, 各角度效率 = [0.18, 0.1, 0.02, 0.0, 0.6, 0.68, 1.0, 0.59]
NO.2-39data[10 23 48], 總效率 = 2.25, 各角度效率 = [0.93, 0.92, 0.13, 0.21, 0.06, 0.0, 0.0, 0.0]
NO.2-40data[ 9 21 68], 總效率 = 4.75, 各角度效率 = [0.62, 0.94, 1.0, 0.96, 0.72, 0.17, 0.34, 0.0]
NO.2-41data[10  5 63], 總效率 = 0.71, 各角度效率 = [0.71, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.2-42data[10 24 62], 總效率 = 2.7900000000000005, 各角度效率 = [0.83, 0.75, 0.93, 0.22, 0.06, 0.0, 0.0, 0.0]
NO.2-43data[ 9 16 70], 總效率 = 6.91, 各角度效率 = [0.37, 0.62, 1.0, 1.0, 1.0, 1.0, 0.92, 1.0]
NO.2-44data[ 6 21 82], 總效率 = 2.77, 各角度效率 = [0.3, 0.39, 0.48, 0.5, 1.0, 0.02, 0.08, 0.0]
NO.2-45data[ 8  7 16], 總效率 = 1.52, 各角度效率 = [0.09, 0.05, 0.0, 0.0, 0.03, 0.68, 0.65, 0.02]
NO.2-46data[ 3  2 81], 總效率 = 0.48, 各角度效率 = [0.25, 0.21, 0.01, 0.0, 0.0, 0.01, 0.0, 0.0]
NO.2-47data[ 8 20 16], 總效率 = 0.19, 各角度效率 = [0.19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
NO.2-48data[ 6 21 45], 總效率 = 0.79, 各角度效率 = [0.48, 0.31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
